Detailed Statistics Arrivals  
Destination Airport: Idaho Falls, ID: Idaho Falls Regional (IDA)
Airline: Endeavor Air Inc. (9E)
Month(s): May, June, July, August, September, and October
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"9E","07/20/2007","5611","84959E","MSP","22:59","22:46","159","147","-13","22:41","5","0","0","0","0","0"
"9E","07/20/2008","2824","86729E","MSP","23:05","23:09","170","171","4","23:02","7","0","0","0","0","0"
"9E","07/21/2007","5611","88949E","MSP","22:59","22:41","159","146","-18","22:35","6","0","0","0","0","0"
"9E","07/21/2008","2824","89079E","MSP","23:05","22:46","170","154","-19","22:40","6","0","0","0","0","0"
"9E","07/22/2007","5611","88949E","MSP","22:59","23:31","159","168","32","23:25","6","23","0","9","0","0"
"9E","07/22/2008","2824","85439E","MSP","23:05","22:53","170","160","-12","22:48","5","0","0","0","0","0"
"9E","07/23/2007","5611","89089E","MSP","22:59","22:49","159","149","-10","22:46","3","0","0","0","0","0"
"9E","07/23/2008","2824","89039E","MSP","23:05","22:56","170","164","-9","22:51","5","0","0","0","0","0"
"9E","07/24/2007","5611","80269E","MSP","22:59","23:38","159","144","39","23:34","4","39","0","0","0","0"
"9E","07/24/2008","2824","80219E","MSP","23:05","23:31","170","182","26","23:25","6","14","0","12","0","0"
"9E","07/25/2007","5611","80219E","MSP","22:59","22:54","159","155","-5","22:46","8","0","0","0","0","0"
"9E","07/25/2008","2824","89149E","MSP","23:05","23:55","170","153","50","23:50","5","50","0","0","0","0"
